,subject_id,variable,week,value
0,100001,Acidimicrobiia,25,
1,100002,Acidimicrobiia,25,
2,100003,Acidimicrobiia,25,
3,100004,Acidimicrobiia,25,M
4,100005,Acidimicrobiia,25,
5,100006,Acidimicrobiia,25,
6,100009,Acidimicrobiia,25,
7,100017,Acidimicrobiia,25,
8,100018,Acidimicrobiia,25,
9,100019,Acidimicrobiia,25,
10,100021,Acidimicrobiia,25,
11,100034,Acidimicrobiia,25,
12,100036,Acidimicrobiia,25,
13,100043,Acidimicrobiia,25,
14,100050,Acidimicrobiia,25,
15,100051,Acidimicrobiia,25,
16,100056,Acidimicrobiia,25,
17,100057,Acidimicrobiia,25,
18,100061,Acidimicrobiia,25,
19,100063,Acidimicrobiia,25,
20,100064,Acidimicrobiia,25,
21,100068,Acidimicrobiia,25,
22,100069,Acidimicrobiia,25,
23,100070,Acidimicrobiia,25,
24,100076,Acidimicrobiia,25,
25,100078,Acidimicrobiia,25,
26,100079,Acidimicrobiia,25,
27,100108,Acidimicrobiia,25,
28,100001,Acidimicrobiia,26,
29,100002,Acidimicrobiia,26,
30,100003,Acidimicrobiia,26,M
31,100004,Acidimicrobiia,26,
32,100005,Acidimicrobiia,26,
33,100006,Acidimicrobiia,26,
34,100009,Acidimicrobiia,26,
35,100017,Acidimicrobiia,26,
36,100018,Acidimicrobiia,26,
37,100019,Acidimicrobiia,26,
38,100021,Acidimicrobiia,26,
39,100034,Acidimicrobiia,26,M
40,100036,Acidimicrobiia,26,
41,100043,Acidimicrobiia,26,M
42,100050,Acidimicrobiia,26,
43,100051,Acidimicrobiia,26,
44,100056,Acidimicrobiia,26,
45,100057,Acidimicrobiia,26,
46,100061,Acidimicrobiia,26,
47,100063,Acidimicrobiia,26,
48,100064,Acidimicrobiia,26,
49,100068,Acidimicrobiia,26,
50,100069,Acidimicrobiia,26,
51,100070,Acidimicrobiia,26,
52,100076,Acidimicrobiia,26,
53,100078,Acidimicrobiia,26,
54,100079,Acidimicrobiia,26,
55,100108,Acidimicrobiia,26,
56,100001,Acidimicrobiia,27,
57,100002,Acidimicrobiia,27,
58,100003,Acidimicrobiia,27,M
59,100004,Acidimicrobiia,27,M
60,100005,Acidimicrobiia,27,
61,100006,Acidimicrobiia,27,
62,100009,Acidimicrobiia,27,
63,100017,Acidimicrobiia,27,
64,100018,Acidimicrobiia,27,
65,100019,Acidimicrobiia,27,
66,100021,Acidimicrobiia,27,
67,100034,Acidimicrobiia,27,
68,100036,Acidimicrobiia,27,
69,100043,Acidimicrobiia,27,M
70,100050,Acidimicrobiia,27,
71,100051,Acidimicrobiia,27,
72,100056,Acidimicrobiia,27,
73,100057,Acidimicrobiia,27,
74,100061,Acidimicrobiia,27,
75,100063,Acidimicrobiia,27,
76,100064,Acidimicrobiia,27,
77,100068,Acidimicrobiia,27,
78,100069,Acidimicrobiia,27,
79,100070,Acidimicrobiia,27,
80,100076,Acidimicrobiia,27,M
81,100078,Acidimicrobiia,27,
82,100079,Acidimicrobiia,27,
83,100108,Acidimicrobiia,27,
84,100001,Acidimicrobiia,28,M
85,100002,Acidimicrobiia,28,
86,100003,Acidimicrobiia,28,M
87,100004,Acidimicrobiia,28,
88,100005,Acidimicrobiia,28,
89,100006,Acidimicrobiia,28,
90,100009,Acidimicrobiia,28,
91,100017,Acidimicrobiia,28,
92,100018,Acidimicrobiia,28,
93,100019,Acidimicrobiia,28,
94,100021,Acidimicrobiia,28,
95,100034,Acidimicrobiia,28,
96,100036,Acidimicrobiia,28,
97,100043,Acidimicrobiia,28,
98,100050,Acidimicrobiia,28,
99,100051,Acidimicrobiia,28,
100,100056,Acidimicrobiia,28,
101,100057,Acidimicrobiia,28,M
102,100061,Acidimicrobiia,28,
103,100063,Acidimicrobiia,28,
104,100064,Acidimicrobiia,28,
105,100068,Acidimicrobiia,28,
106,100069,Acidimicrobiia,28,
107,100070,Acidimicrobiia,28,
108,100076,Acidimicrobiia,28,
109,100078,Acidimicrobiia,28,M
110,100079,Acidimicrobiia,28,
111,100108,Acidimicrobiia,28,M
112,100001,Acidimicrobiia,29,A
113,100002,Acidimicrobiia,29,
114,100003,Acidimicrobiia,29,
115,100004,Acidimicrobiia,29,A
116,100005,Acidimicrobiia,29,
117,100006,Acidimicrobiia,29,A
118,100009,Acidimicrobiia,29,A
119,100017,Acidimicrobiia,29,
120,100018,Acidimicrobiia,29,
121,100019,Acidimicrobiia,29,
122,100021,Acidimicrobiia,29,A
123,100034,Acidimicrobiia,29,A
124,100036,Acidimicrobiia,29,Z
125,100043,Acidimicrobiia,29,A
126,100050,Acidimicrobiia,29,
127,100051,Acidimicrobiia,29,
128,100056,Acidimicrobiia,29,
129,100057,Acidimicrobiia,29,A
130,100061,Acidimicrobiia,29,
131,100063,Acidimicrobiia,29,
132,100064,Acidimicrobiia,29,
133,100068,Acidimicrobiia,29,
134,100069,Acidimicrobiia,29,
135,100070,Acidimicrobiia,29,
136,100076,Acidimicrobiia,29,
137,100078,Acidimicrobiia,29,A
138,100079,Acidimicrobiia,29,
139,100108,Acidimicrobiia,29,A
140,100001,Acidimicrobiia,30,M
141,100002,Acidimicrobiia,30,M
142,100003,Acidimicrobiia,30,M
143,100004,Acidimicrobiia,30,
144,100005,Acidimicrobiia,30,M
145,100006,Acidimicrobiia,30,
146,100009,Acidimicrobiia,30,M
147,100017,Acidimicrobiia,30,
148,100018,Acidimicrobiia,30,
149,100019,Acidimicrobiia,30,
150,100021,Acidimicrobiia,30,M
151,100034,Acidimicrobiia,30,
152,100036,Acidimicrobiia,30,
153,100043,Acidimicrobiia,30,
154,100050,Acidimicrobiia,30,M
155,100051,Acidimicrobiia,30,
156,100056,Acidimicrobiia,30,
157,100057,Acidimicrobiia,30,M
158,100061,Acidimicrobiia,30,
159,100063,Acidimicrobiia,30,
160,100064,Acidimicrobiia,30,
161,100068,Acidimicrobiia,30,
162,100069,Acidimicrobiia,30,M
163,100070,Acidimicrobiia,30,
164,100076,Acidimicrobiia,30,
165,100078,Acidimicrobiia,30,
166,100079,Acidimicrobiia,30,M
167,100108,Acidimicrobiia,30,M
168,100001,Acidimicrobiia,31,M
169,100002,Acidimicrobiia,31,
170,100003,Acidimicrobiia,31,M
171,100004,Acidimicrobiia,31,
172,100005,Acidimicrobiia,31,M
173,100006,Acidimicrobiia,31,M
174,100009,Acidimicrobiia,31,
175,100017,Acidimicrobiia,31,
176,100018,Acidimicrobiia,31,
177,100019,Acidimicrobiia,31,
178,100021,Acidimicrobiia,31,
179,100034,Acidimicrobiia,31,M
180,100036,Acidimicrobiia,31,M
181,100043,Acidimicrobiia,31,M
182,100050,Acidimicrobiia,31,M
183,100051,Acidimicrobiia,31,M
184,100056,Acidimicrobiia,31,
185,100057,Acidimicrobiia,31,M
186,100061,Acidimicrobiia,31,
187,100063,Acidimicrobiia,31,M
188,100064,Acidimicrobiia,31,
189,100068,Acidimicrobiia,31,M
190,100069,Acidimicrobiia,31,M
191,100070,Acidimicrobiia,31,
192,100076,Acidimicrobiia,31,
193,100078,Acidimicrobiia,31,
194,100079,Acidimicrobiia,31,
195,100108,Acidimicrobiia,31,
196,100001,Acidimicrobiia,32,M
197,100002,Acidimicrobiia,32,M
198,100003,Acidimicrobiia,32,M
199,100004,Acidimicrobiia,32,
200,100005,Acidimicrobiia,32,M
201,100006,Acidimicrobiia,32,
202,100009,Acidimicrobiia,32,M
203,100017,Acidimicrobiia,32,
204,100018,Acidimicrobiia,32,M
205,100019,Acidimicrobiia,32,M
206,100021,Acidimicrobiia,32,
207,100034,Acidimicrobiia,32,M
208,100036,Acidimicrobiia,32,
209,100043,Acidimicrobiia,32,M
210,100050,Acidimicrobiia,32,M
211,100051,Acidimicrobiia,32,M
212,100056,Acidimicrobiia,32,M
213,100057,Acidimicrobiia,32,
214,100061,Acidimicrobiia,32,M
215,100063,Acidimicrobiia,32,M
216,100064,Acidimicrobiia,32,M
217,100068,Acidimicrobiia,32,
218,100069,Acidimicrobiia,32,
219,100070,Acidimicrobiia,32,
220,100076,Acidimicrobiia,32,
221,100078,Acidimicrobiia,32,
222,100079,Acidimicrobiia,32,M
223,100108,Acidimicrobiia,32,
224,100001,Acidimicrobiia,33,M
225,100002,Acidimicrobiia,33,M
226,100003,Acidimicrobiia,33,
227,100004,Acidimicrobiia,33,M
228,100005,Acidimicrobiia,33,
229,100006,Acidimicrobiia,33,
230,100009,Acidimicrobiia,33,M
231,100017,Acidimicrobiia,33,M
232,100018,Acidimicrobiia,33,M
233,100019,Acidimicrobiia,33,
234,100021,Acidimicrobiia,33,
235,100034,Acidimicrobiia,33,
236,100036,Acidimicrobiia,33,
237,100043,Acidimicrobiia,33,
238,100050,Acidimicrobiia,33,
239,100051,Acidimicrobiia,33,
240,100056,Acidimicrobiia,33,
241,100057,Acidimicrobiia,33,
242,100061,Acidimicrobiia,33,M
243,100063,Acidimicrobiia,33,M
244,100064,Acidimicrobiia,33,M
245,100068,Acidimicrobiia,33,M
246,100069,Acidimicrobiia,33,
247,100070,Acidimicrobiia,33,M
248,100076,Acidimicrobiia,33,
249,100078,Acidimicrobiia,33,M
250,100079,Acidimicrobiia,33,
251,100108,Acidimicrobiia,33,
252,100001,Acidimicrobiia,34,M
253,100002,Acidimicrobiia,34,
254,100003,Acidimicrobiia,34,
255,100004,Acidimicrobiia,34,M
256,100005,Acidimicrobiia,34,M
257,100006,Acidimicrobiia,34,
258,100009,Acidimicrobiia,34,
259,100017,Acidimicrobiia,34,M
260,100018,Acidimicrobiia,34,M
261,100019,Acidimicrobiia,34,
262,100021,Acidimicrobiia,34,
263,100034,Acidimicrobiia,34,
264,100036,Acidimicrobiia,34,M
265,100043,Acidimicrobiia,34,
266,100050,Acidimicrobiia,34,
267,100051,Acidimicrobiia,34,M
268,100056,Acidimicrobiia,34,
269,100057,Acidimicrobiia,34,
270,100061,Acidimicrobiia,34,
271,100063,Acidimicrobiia,34,M
272,100064,Acidimicrobiia,34,
273,100068,Acidimicrobiia,34,
274,100069,Acidimicrobiia,34,M
275,100070,Acidimicrobiia,34,
276,100076,Acidimicrobiia,34,
277,100078,Acidimicrobiia,34,
278,100079,Acidimicrobiia,34,
279,100108,Acidimicrobiia,34,
280,100001,Acidimicrobiia,35,M
281,100002,Acidimicrobiia,35,
282,100003,Acidimicrobiia,35,
283,100004,Acidimicrobiia,35,
284,100005,Acidimicrobiia,35,
285,100006,Acidimicrobiia,35,
286,100009,Acidimicrobiia,35,
287,100017,Acidimicrobiia,35,M
288,100018,Acidimicrobiia,35,M
289,100019,Acidimicrobiia,35,
290,100021,Acidimicrobiia,35,
291,100034,Acidimicrobiia,35,
292,100036,Acidimicrobiia,35,
293,100043,Acidimicrobiia,35,
294,100050,Acidimicrobiia,35,
295,100051,Acidimicrobiia,35,M
296,100056,Acidimicrobiia,35,
297,100057,Acidimicrobiia,35,
298,100061,Acidimicrobiia,35,
299,100063,Acidimicrobiia,35,
300,100064,Acidimicrobiia,35,M
301,100068,Acidimicrobiia,35,M
302,100069,Acidimicrobiia,35,
303,100070,Acidimicrobiia,35,
304,100076,Acidimicrobiia,35,
305,100078,Acidimicrobiia,35,
306,100079,Acidimicrobiia,35,
307,100108,Acidimicrobiia,35,
308,100001,Acidimicrobiia,36,M
309,100002,Acidimicrobiia,36,
310,100003,Acidimicrobiia,36,M
311,100004,Acidimicrobiia,36,
312,100005,Acidimicrobiia,36,
313,100006,Acidimicrobiia,36,
314,100009,Acidimicrobiia,36,
315,100017,Acidimicrobiia,36,
316,100018,Acidimicrobiia,36,M
317,100019,Acidimicrobiia,36,
318,100021,Acidimicrobiia,36,
319,100034,Acidimicrobiia,36,
320,100036,Acidimicrobiia,36,M
321,100043,Acidimicrobiia,36,
322,100050,Acidimicrobiia,36,
323,100051,Acidimicrobiia,36,M
324,100056,Acidimicrobiia,36,
325,100057,Acidimicrobiia,36,
326,100061,Acidimicrobiia,36,
327,100063,Acidimicrobiia,36,
328,100064,Acidimicrobiia,36,
329,100068,Acidimicrobiia,36,
330,100069,Acidimicrobiia,36,
331,100070,Acidimicrobiia,36,
332,100076,Acidimicrobiia,36,
333,100078,Acidimicrobiia,36,
334,100079,Acidimicrobiia,36,
335,100108,Acidimicrobiia,36,
336,100001,Acidobacteriae,25,
337,100002,Acidobacteriae,25,
338,100003,Acidobacteriae,25,
339,100004,Acidobacteriae,25,M
340,100005,Acidobacteriae,25,
341,100006,Acidobacteriae,25,
342,100009,Acidobacteriae,25,
343,100017,Acidobacteriae,25,
344,100018,Acidobacteriae,25,
345,100019,Acidobacteriae,25,
346,100021,Acidobacteriae,25,
347,100034,Acidobacteriae,25,
348,100036,Acidobacteriae,25,
349,100043,Acidobacteriae,25,
350,100050,Acidobacteriae,25,
351,100051,Acidobacteriae,25,
352,100056,Acidobacteriae,25,
353,100057,Acidobacteriae,25,
354,100061,Acidobacteriae,25,
355,100063,Acidobacteriae,25,
356,100064,Acidobacteriae,25,
357,100068,Acidobacteriae,25,
358,100069,Acidobacteriae,25,
359,100070,Acidobacteriae,25,
360,100076,Acidobacteriae,25,
361,100078,Acidobacteriae,25,
362,100079,Acidobacteriae,25,
363,100108,Acidobacteriae,25,
364,100001,Acidobacteriae,26,
365,100002,Acidobacteriae,26,
366,100003,Acidobacteriae,26,A
367,100004,Acidobacteriae,26,
368,100005,Acidobacteriae,26,
369,100006,Acidobacteriae,26,
370,100009,Acidobacteriae,26,
371,100017,Acidobacteriae,26,
372,100018,Acidobacteriae,26,
373,100019,Acidobacteriae,26,
374,100021,Acidobacteriae,26,
375,100034,Acidobacteriae,26,A
376,100036,Acidobacteriae,26,
377,100043,Acidobacteriae,26,A
378,100050,Acidobacteriae,26,
379,100051,Acidobacteriae,26,
380,100056,Acidobacteriae,26,
381,100057,Acidobacteriae,26,
382,100061,Acidobacteriae,26,
